home_team,away_team,home_score,away_score,actual_outcome,elo_diff,home_elo,away_elo,form_diff,home_form,away_form,avg_scored_diff,home_avg_scored,away_avg_scored,avg_conceded_diff,home_avg_conceded,away_avg_conceded,is_competitive,is_world_cup,home_advantage,p_away_win,p_draw,p_home_win,predicted_outcome,correct,predicted_prob
South Korea,Czechia,2,1,2,114.75722321191552,1904.0804299963331,1789.3232067844176,0.0,1.9,1.9,-0.7000000000000002,1.5,2.2,0.2999999999999999,1.2,0.9,1,1,0,0.30825222,0.28655994,0.40518788,2,1,0.4051878750324249
Mexico,South Africa,2,0,2,281.53387196943277,1953.190867998132,1671.6569960286993,0.4000000000000001,2.1,1.7,0.1,1.6,1.5,-0.6,0.4,1.0,1,1,1,0.032961257,0.24513578,0.7219029,2,1,0.7219029068946838
Canada,Bosnia and Herzegovina,1,1,1,240.32618373733385,1896.418057263005,1656.0918735256712,0.1999999999999999,1.7,1.5,-0.8999999999999999,1.1,2.0,-0.6,0.4,1.0,1,1,1,0.064981826,0.2608142,0.674204,2,0,0.6742039918899536
United States,Paraguay,4,1,2,-7.987651206211467,1892.9237652146949,1900.9114164209063,0.2000000000000001,1.6,1.4,0.6000000000000001,1.8,1.2,0.7,1.7,1.0,1,1,1,0.3896926,0.23190549,0.37840194,0,0,0.38969260454177856
Qatar,Switzerland,1,1,1,-329.2736171646068,1607.019700671098,1936.2933178357048,-1.2,0.7,1.9,-1.5000000000000002,0.7,2.2,0.7,1.5,0.8,1,1,0,0.6230248,0.26543212,0.11154302,0,0,0.6230248212814331
